city,lat,long,population
Losynivka,50.83,31.92,3706
Kuchurhan,46.7236,29.9775,3700
Myhove,48.15,25.3806,3693
Kashperivka,49.4311,29.6814,3689
Zhvyrka,50.465,24.2567,3665
Kamiani Potoky,48.9859,33.5186,3662
Voskresenka,47.4707,36.357,3648
Oleksiivka,47.5943,34.2377,3600
Tsybuliv,49.0733,29.8472,3568
Osiy,48.3611,23.1194,3555
Zatyshshia,47.3353,29.8708,3537
Verbivka,49.4883,36.8297,3515
Kryukivshchyna,50.3683,30.3681,3509
Kobyletska Poliana,48.0822,24.0747,3498
Makhnivka,49.7219,28.6769,3467
Kyrylivka,46.3731,35.3675,3464
Hora,50.3708,30.8617,3461
Pershotravensk,50.2011,27.6339,3452
Shchebetovka,44.9389,35.1583,3442
Novopavlivka,48.1376,36.7827,3439
Solonka,49.74,24.03,3391
Kozyn,50.2278,30.65,3371
Medenychi,49.4333,23.75,3371
Machukhy,49.5296,34.4297,3337
Ropcha,48.1175,25.7925,3324
Mykolayivka,48.7867,35.1796,3324
Hlukhivtsi,49.7728,28.7189,3320
Malokaterynivka,47.657,35.2591,3320
Staryi Saltiv,50.0778,36.7933,3318
Pluzhnoye,50.1803,26.5628,3297
Koropets,48.9386,25.1794,3253
Ivanivtsi,48.4847,27.0147,3253
Khymchyn,48.3839,25.1497,3245
Sholokhove,47.6981,34.0238,3230
Chervonyy Oskil,49.1744,37.428,3217
Vil’khivtsi-Lazy,48.1258,23.6975,3215
Vylok,48.1,22.8333,3201
Rudnyky,49.4489,23.9136,3197
Lysychovo,48.4908,23.2742,3187
Shpykiv,48.787,28.5642,3183
Kopashnovo,48.2156,23.4822,3161
Ivanopil,49.8586,28.2156,3154
Spaske,48.6579,35.0499,3145
Rozivka,47.3929,37.0694,3140
Lazurne,46.0808,32.52,3140
Novi Bilokorovychi,51.0475,28.0519,3117
Pryshyb,47.2564,35.3239,3110
Krasnyi Kut,48.2119,38.7767,3108
Hlyniany,49.8233,24.5167,3103
Novoekonomichne,48.3278,37.3319,3098
Orilka,48.9805,36.0075,3095
Lukiv,51.2333,24.3475,3090
Malyy Rakovets’,48.2642,23.2064,3086
Olyka,50.7167,25.8167,3079
Horinchovo,48.2697,23.4339,3071
Koviahy,49.9044,35.5586,3045
Nyzhnie Selyshche,48.1997,23.4475,3044
Obertyn,48.6894,25.17,3034
Mykhailo-Kotsiubynske,51.455,31.0772,3028
Bila Tserkva 2,47.95,23.9333,3024
Holovne,51.3333,24.0833,3013
Batovo,48.3667,22.3833,3003
Novyi Yarychiv,49.9019,24.3033,3002
Berezovo,48.3039,23.4892,3000
Stari Petrivtsi,50.6525,30.4158,2963
Hozhuly,49.6056,34.4479,2947
Myrne,46.9502,35.4431,2944
Sadky,49.009,33.4602,2939
Lysets,48.8717,24.6047,2914
Polovynkyne,49.225,38.915,2913
Urzuf,46.9119,37.0936,2904
Staryi Mizun,48.9206,23.8739,2879
Myropillya,51.0225,35.2603,2873
Chervone,49.9497,28.8686,2859
Pervomaiskyi,47.9736,38.7875,2837
Lychkove,49.0918,35.2078,2822
Stanislavchyk,48.9728,28.1028,2813
Babyntsi,50.6411,30.0269,2810
Yezupil,49.0431,24.7764,2807
Koktebel,44.96,35.2406,2807
Orativ,49.1876,29.5289,2804
Oleksandrivka 2,48.5173,35.2304,2799
Dertsen,48.335,22.6825,2793
Holubyne,48.5714,22.9697,2781
Blyzhnie,45.0569,35.3306,2779
Narodychi,51.2029,29.0823,2770
Voinyliv,49.1194,24.4936,2757
Andriivka,47.1026,36.5871,2755
